CAW	MN	Comair
CAX		Central Air Express
CAY	KX	Cayman Airways
CAZ		Cat Aviation
CBA		Civil Aviation Inspectorate of the Czech Republic
CBB		Cheboksary Airenterprise JSC
CBC		Caribair
CBD		Lockheed Martin Aeronautics
CBE		Aerovias Caribe
CBF	CJ	China Northern Airlines
CBI		CABI
CBL		Cumberland Airways (Nicholson Air Service)
CBM		Cherokee Express
CBN		Swedish Civil Aviation Administration
CBO		Aerotaxi del Cabo
CBR		Cabair College of Air Training
CBS		Air Columbus
CBT		Catalina Flying Boats
CBV		Aero Cabo
CBY		Coningsby Flying Training Unit
CCA	CA	Air China
CCE		Cairo Air Transport Company
CCF		CCF Manager Airline
CCG		Central Connect Airlines
CCH		Chilchota Taxi Aereo
CCK		Flight Trac
CCM	XK	Corse-Mediterranee
CCP	MG	Champion Air
CCQ		Capital City Air Carriers
CCV		Centro De Helicopteros Corporativos
CCW		Coptrade Air Transport
CCX		Colt International
CCY		Cherry Air
CDA		Aerocardal
CDE		Comed Group
CDG	SC	Shandong Airlines
CDI		Cards Air Services
CDL		Sunbird Airlines
CDM		Carga Aerea Dominicana
CDP		Aero Condor Peru
CDR		Canadian Regional Airlines
CDS		Spectrem Air
CDT		Real Aero Club de Reus-Costa Dorado
CDU		Aerotrans
CDV		Airline Skol
CDY		Heliaviation Limited
CEB	5J	Cebu Pacific
CEC		Celtic Airways
CED		CEDTA (Compania Ecuatoriana De Transportes Aereos)
CEE		Servicios Aereos Centrales
CEF		Czech Air Force
CEG		Cega Aviation
CEM		Central Mongolia Airways
CEP		Chipola Aviation
CER		Cetraca Aviation Service
CES	MU	China Eastern Airlines
CET		Centrafrican Airlines
CEX		Capitol Air Express
CFA		China Flying Dragon Aviation
CFC		Canadian Forces
CFD		Cranfield University
CFE	CJ	Cityflyer Express
CFF		Aerofan
CFG	DE	condor
CFH		Care Flight
CFI		Flight Inspection Center of the General Administra
CFJ		Fujian Airlines
CFL		Swedish Airlines
CFM		ACEF
CFN		Church Fenton Flying Training Unit
CFR		Africa One
CFS	EM	Empire Airlines
CFT		Jet Freighters
CFU		United Kingdom Civil Aviation Authority
CFV		Aero Calafia
CFZ		Zhongfei General Aviation
CGA		Congressional Air
CGB		Air Cargo Belize
CGC		Cal Gulf Aviation
CGD		Charlotte Air National Guard
CGE		Nelson Aviation College
CGG		Walmart Aviation
